S. No.,Month ,Crash Date,Crash Day,Article Date ,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type
1,January,31-Dec-21,Friday,1-Jan-22,Alni,Nil,Maharashtra,"18.278457450374876, 76.00957388786227",Car,Tractor,4,0,"70,50,45,23",Both,NH,Head On Collision 
2,January,31-Dec-21,Friday,1-Jan-22,Hariharganj,Nil,Jharkhand,"24.543681356839087, 84.28057070288547",Pick Up,Truck,6,18,NA,Both,NH,Head On Collision 
3,January,30-Dec-21,Thursday,1-Jan-22,Dabolim,Nil,Goa,"15.390068035586195, 73.85497360324335",Car,Divider,3,2,"27,24,24",Male,NH,Fixed Object Collision
4,January,30-Dec-21,Thursday,1-Jan-22,Triplicane,Chennai,Tamil Nadu,"13.067050304037062, 80.27014333317551",Pedestrian,Bus,1,0,50,Male,OR,Hit and Run
5,January,30-Dec-21,Thursday,1-Jan-22,PS Salai Junction,Chennai,Tamil Nadu,"13.039775780916695, 80.26465794801",Two Wheeler,Two Wheeler,1,1,NA,Male,OR,Head On Collision 
6,January,30-Dec-21,Thursday,1-Jan-22,Lampolai,Nil,Rajasthan,"26.64362250050694, 74.19299113226057",Two Wheeler,Car,4,2,NA,NA,NH,Head On Collision 
7,January,30-Dec-21,Thursday,1-Jan-22,Tanot ,Nil,Rajasthan,"27.793665237757928, 70.35519318244828",Car,Car,2,9,NA,NA,NH,Head On Collision 
8,January,30-Dec-21,Thursday,1-Jan-22,Mettupalayam,Coimbatore,Tamil Nadu,"11.299962063279324, 76.94191717015218",Two Wheeler,Two Wheeler,1,1,29,Female,SH,Hit From Side
9,January,1-Jan-22,Saturday,2-Jan-22,Military Jalipa Cantt,Nil,Rajasthan,"25.808661598311467, 71.40488769828872",Two Wheeler,Truck,1,0,NA,Male,NH,Others
10,January,31-Dec-21,Friday,2-Jan-22,Zaheerabad,Nil,Telangana,"17.692782870071433, 77.62231729628967",Two Wheeler,Car,4,0,NA,Both,NH,Head On Collision 
11,January,1-Jan-22,Saturday,2-Jan-22,Nagarkurnool,Nil,Telangana,"16.48884543363603, 78.3091303972808",Two Wheeler,Car,2,0,"19,14",Male,SH,Head On Collision 
12,January,1-Jan-22,Saturday,2-Jan-22,Chintapalli,Nil,Telangana,"16.526195268882535, 78.59603307218524",Auto Rickshaw,Bus,2,0,NA,Male,OR,Head On Collision 
13,January,1-Jan-22,Saturday,2-Jan-22,Sikar Road,Jaipur,Rajasthan,"27.011963538352493, 75.76932901260889",Pedestrian,Car,1,0,32,Male,NH,Hit and Run
14,January,1-Jan-22,Saturday,2-Jan-22,Pista Chowk,Nil,Bihar,"25.188347677151736, 86.97434233075197",Two Wheeler,Truck,3,0,"21,20,22",Male,SH,Others
15,January,1-Jan-22,Saturday,2-Jan-22,Sikandarpur,Nil,Bihar,"25.242396484247, 86.98888681844828",Two Wheeler,Two Wheeler,2,4,"20,18",Male,OR,Head On Collision 
16,January,1-Jan-22,Saturday,2-Jan-22,Muzaffarnagar,Nil,Uttar Pradesh,"29.47257166225623, 77.71737212387585",Bus,Truck,2,2,"75,28",Male,SH,Others
