Incident_ID,State,District,Incident_Date,Pollution_Type,Pollution_Level_PPM,Trees_Destroyed,Area_Affected_Ha,Cause,Recovery_Status,Damage_Estimate_INR,Wildlife_Affected,River_or_Lake_Polluted,Govt_Response_Time_Days,NGOs_Involved,Rainfall_mm,Soil_Erosion_Level,Air_Quality_Index,Water_pH_Level,Green_Cover_Loss_Percent,Industrial_Area_Nearby,Is_Protected_Area
1,Bihar,District_6,2023-01-29,Mixed,350.9,242,40.01,Illegal Dumping,Partially Recovered,2457600,204,No,178,0,139.3,3.23,281,7.03,26.4,Yes,No
2,West Bengal,District_11,2020-03-22,Soil,350.9,204,32.34,Industrial Waste,Partially Recovered,2836373,75,No,116,8,139.3,3.23,106,7.03,26.4,Yes,Yes
3,Odisha,District_18,2023-06-25,Water,350.9,404,40.62,Deforestation,Unrecovered,2086379,284,No,175,4,139.3,3.23,198,7.03,26.4,Yes,Yes
4,Karnataka,District_4,2018-12-16,Water,350.9,21,15.9,Agricultural Runoff,Partially Recovered,2842376,209,Yes,110,1,139.3,3.23,284,7.03,26.4,No,No
5,Bihar,District_3,2021-09-07,Water,350.9,403,50.85,Deforestation,Unrecovered,4313841,257,No,157,8,139.3,3.23,186,7.03,26.4,No,Yes
6,Kerala,District_13,2018-06-25,Air,350.9,418,80.36,Agricultural Runoff,Unrecovered,894248,258,No,80,6,139.3,3.23,316,7.03,26.4,Yes,Yes
7,Tamil Nadu,District_9,2018-03-19,Air,350.9,186,44.71,Agricultural Runoff,Recovered,1428784,183,No,100,7,139.3,3.23,278,7.03,26.4,No,No
8,Bihar,District_6,2011-08-04,Air,350.9,186,49.57,Deforestation,Unrecovered,3236966,10,Yes,17,2,139.3,3.23,370,7.03,26.4,No,No
9,Odisha,District_12,2012-08-04,Mixed,350.9,226,85.03,Urban Expansion,Partially Recovered,3246581,159,Yes,148,6,139.3,3.23,331,7.03,26.4,Yes,No
10,Karnataka,District_2,2011-07-08,Water,350.9,20,70.9,Illegal Dumping,Partially Recovered,3109535,259,No,114,0,139.3,3.23,251,7.03,26.4,No,Yes
11,West Bengal,District_3,2020-08-02,Water,350.9,455,49.55,Industrial Waste,Unrecovered,3447016,87,No,6,5,139.3,3.23,281,7.03,26.4,No,Yes
12,Odisha,District_3,2023-03-07,Mixed,350.9,127,26.51,Industrial Waste,Recovered,921575,183,No,22,9,139.3,3.23,68,7.03,26.4,No,Yes
13,Odisha,District_12,2015-03-18,Air,350.9,173,88.61,Industrial Waste,Unrecovered,3868414,15,No,137,5,139.3,3.23,65,7.03,26.4,Yes,Yes
14,Tamil Nadu,District_15,2022-11-20,Mixed,350.9,48,58.13,Deforestation,Unrecovered,1864315,243,Yes,160,9,139.3,3.23,105,7.03,26.4,Yes,Yes
15,Gujarat,District_9,2022-01-04,Air,350.9,62,22.89,Deforestation,Partially Recovered,1381318,85,No,88,5,139.3,3.23,163,7.03,26.4,No,Yes
16,Karnataka,District_8,2018-09-22,Water,350.9,227,27.64,Urban Expansion,Recovered,3568567,198,No,33,2,139.3,3.23,117,7.03,26.4,Yes,No
17,Uttar Pradesh,District_11,2020-01-17,Soil,350.9,215,80.51,Industrial Waste,Recovered,4879913,9,Yes,70,5,139.3,3.23,127,7.03,26.4,Yes,Yes
18,Odisha,District_16,2021-11-05,Air,350.9,496,5.37,Urban Expansion,Recovered,4671285,163,No,49,2,139.3,3.23,79,7.03,26.4,No,Yes
19,Gujarat,District_4,2012-04-09,Water,350.9,321,99.22,Industrial Waste,Recovered,101810,23,No,104,9,139.3,3.23,56,7.03,26.4,No,No
20,Uttar Pradesh,District_1,2014-10-07,Water,350.9,369,13.9,Deforestation,Partially Recovered,4649885,63,No,158,8,139.3,3.23,201,7.03,26.4,No,Yes
