"Timestamp";"Building_ID";"Energy_Usage_kWh_";"Temperature_C_";"Humidity_";"Building_Type";"Occupancy_Level";"Year";"Month";"Day";"Hour";"Weekday";"Is_Weekend";"Carbon_Emission_kg";"Adjusted_Energy_kWh";"Adjusted_Carbon_kg"
"2025-01-01 00:00:00";"B001";121.3;-7.2;79.36;"Industrial";"Low";2025;1;1;0;2;0;57.61749999999999;97.04;46.094
"2025-01-01 01:00:00";"B001";230.76;12.62;80.37;"Industrial";"High";2025;1;1;1;2;0;109.61099999999999;184.608;87.6888
"2025-01-01 02:00:00";"B001";187.21;-1.33;37.74;"Industrial";"High";2025;1;1;2;2;0;88.92475;149.768;71.1398
"2025-01-01 03:00:00";"B001";262.23;0.24;39.97;"Industrial";"High";2025;1;1;3;2;0;124.55925;209.78400000000002;99.6474
"2025-01-01 04:00:00";"B001";472.97;5.44;89.29;"Industrial";"Medium";2025;1;1;4;2;0;224.66075;378.37600000000003;179.7286
"2025-01-01 05:00:00";"B001";198.15;-7.64;57.01;"Industrial";"Medium";2025;1;1;5;2;0;94.12125;158.52;75.297
"2025-01-01 06:00:00";"B001";369.35;34.27;33.01;"Industrial";"Low";2025;1;1;6;2;0;175.44125;295.48;140.353
"2025-01-01 07:00:00";"B001";374.21;2.68;41.06;"Industrial";"Low";2025;1;1;7;2;0;177.74974999999998;299.368;142.19979999999998
"2025-01-01 08:00:00";"B001";85.65;-7.88;31.17;"Industrial";"Medium";2025;1;1;8;2;0;40.68375;68.52000000000001;32.547000000000004
"2025-01-01 09:00:00";"B001";260.47;17.27;55.7;"Industrial";"High";2025;1;1;9;2;0;123.72325000000001;208.37600000000003;98.97860000000001
"2025-01-01 10:00:00";"B001";180.61;15.29;36.72;"Industrial";"Low";2025;1;1;10;2;0;85.78975;144.48800000000003;68.63180000000001
"2025-01-01 11:00:00";"B001";305.79;25.64;89.2;"Industrial";"Medium";2025;1;1;11;2;0;145.25025;244.63200000000003;116.20020000000001
"2025-01-01 12:00:00";"B001";279.35;30.9;77.11;"Industrial";"High";2025;1;1;12;2;0;132.69125;223.48000000000002;106.153
"2025-01-01 13:00:00";"B001";326.78;31.71;87.72;"Industrial";"High";2025;1;1;13;2;0;155.2205;261.424;124.17639999999999
"2025-01-01 14:00:00";"B001";72.73;14.63;83.43;"Industrial";"Low";2025;1;1;14;2;0;34.54675;58.184000000000005;27.6374
"2025-01-01 15:00:00";"B001";114.27;16.09;46.95;"Industrial";"Low";2025;1;1;15;2;0;54.27824999999999;91.416;43.422599999999996
"2025-01-01 16:00:00";"B001";420.64;21.91;65.26;"Industrial";"Medium";2025;1;1;16;2;0;199.80399999999997;336.512;159.8432
"2025-01-01 17:00:00";"B001";310.34;-6.28;39.27;"Industrial";"High";2025;1;1;17;2;0;147.4115;248.272;117.9292
"2025-01-01 18:00:00";"B001";210.99;-7.12;34.46;"Industrial";"Low";2025;1;1;18;2;0;100.22025;168.79200000000003;80.17620000000001
"2025-01-01 19:00:00";"B001";441.36;11.25;72.77;"Industrial";"Medium";2025;1;1;19;2;0;209.646;353.088;167.7168
"2025-01-01 20:00:00";"B001";200.7;15.69;84.58;"Industrial";"Low";2025;1;1;20;2;0;95.3325;160.56;76.26599999999999
"2025-01-01 21:00:00";"B001";331.35;32.19;70.78;"Industrial";"Medium";2025;1;1;21;2;0;157.39125;265.08000000000004;125.91300000000001
"2025-01-01 22:00:00";"B001";122.65;33.23;62.25;"Industrial";"Low";2025;1;1;22;2;0;58.25875;98.12;46.607
"2025-01-01 23:00:00";"B001";60.82;14.04;71.3;"Industrial";"High";2025;1;1;23;2;0;28.889499999999998;48.656000000000006;23.111600000000003
"2025-01-02 00:00:00";"B001";379.92;34.79;47.25;"Industrial";"High";2025;1;2;0;3;0;180.462;303.93600000000004;144.36960000000002
"2025-01-02 01:00:00";"B001";156.52;29.72;35.82;"Industrial";"Medium";2025;1;2;1;3;0;74.34700000000001;125.21600000000001;59.4776
"2025-01-02 02:00:00";"B001";108.15;-7.4;80.7;"Industrial";"Low";2025;1;2;2;3;0;51.37125;86.52000000000001;41.097
"2025-01-02 03:00:00";"B001";152.27;14.47;71.7;"Industrial";"Medium";2025;1;2;3;3;0;72.32825;121.81600000000002;57.86260000000001
